Data;Estação;Latitude;Longitude;Radiação Solar (W/m2);Precipitação (mm);Vel do Vento Média (km/h);Temp. Mínima (°C);Temp. Média (°C);Temp. Máxima (°C);Umidade Rel. Mín. (%);Umidade Rel. Média (%);Umidade Rel. Máxima (%);Rajada de Vento (km/h);Evapotranspiração (mm)
"03/02/2026 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,6;21,3;21,52;21,71;99,97;99,97;99,97;14,8;2,8
"03/02/2026 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;5,7;21,13;21,18;21,3;99,97;99,97;99,97;14,4;
"03/02/2026 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,7;20,83;21,01;21,15;99,97;99,97;99,97;8,6;
"03/02/2026 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,2;1,4;20,59;20,71;20,87;99,97;99,97;99,97;6,8;
"03/02/2026 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,6;20,62;20,71;20,82;99,97;99,97;99,97;7,6;
"03/02/2026 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2;20,63;20,72;20,82;99,97;99,97;99,97;6,5;
"03/02/2026 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";11;0;2,7;20,63;20,83;21,05;99,97;99,97;99,97;11,9;
"03/02/2026 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";85;0;4,5;21;21,38;21,92;99,97;99,98;99,99;12,6;
"03/02/2026 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";263;0;5,9;22;22,96;23,98;91,72;96,01;100;13;
"03/02/2026 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";134;0;5,8;22,38;22,69;23,07;93,43;95,96;99,76;15,1;
"03/02/2026 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";326;1,6;5,7;22,22;22,92;24,78;93,7;99,16;100;14,8;
"03/02/2026 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";398;0;7,7;24,08;24,68;25,17;86,04;89,73;93,44;18;
"03/02/2026 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";467;0;8,2;24,51;25,25;26,08;81,82;86,1;91,48;19,1;
"03/02/2026 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";232;5,4;7,2;22,69;23,79;26,21;81,63;95,23;100;25,6;
"03/02/2026 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";852;0;7,9;23,77;25,33;26,76;76,39;85,87;100;18;
"03/02/2026 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";415;0;5,9;24,6;25,91;26,75;74,54;79,84;90,04;18;
